date,league,season,season_type,covid,home_team,away_team,home_goals,away_goals,result,home_last3_points,away_last3_points,result_label,home_form_group,away_form_group,stadium,capacity,ht_home_goals,ht_away_goals,ht_result
2020-09-28,Premier League,2020_2021,covid,1,Fulham,Aston Villa,0,3,A,0,3,Away Win,bad,bad,Craven Cottage,25700.0,0.0,2.0,A
2020-09-28,Premier League,2020_2021,covid,1,Liverpool,Arsenal,3,1,H,6,6,Home Win,medium,medium,Anfield,45276.0,2.0,1.0,H
2020-09-28,Serie A,2020_2021,covid,1,Bologna,Parma,4,1,H,0,0,Home Win,bad,bad,Stadio Renato Dall'Ara,38279.0,2.0,0.0,H
2020-09-29,La Liga,2020_2021,covid,1,Getafe,Betis,3,0,H,4,6,Home Win,medium,medium,Alfonso Pérez,16000.0,3.0,0.0,H
2020-09-29,La Liga,2020_2021,covid,1,Sociedad,Valencia,0,1,A,5,4,Away Win,medium,medium,Anoeta,32076.0,0.0,0.0,D
2020-09-30,La Liga,2020_2021,covid,1,Eibar,Elche,0,1,A,1,0,Away Win,bad,bad,NA,NA,0.0,1.0,A
2020-09-30,La Liga,2020_2021,covid,1,Huesca,Ath Madrid,0,0,D,2,3,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-09-30,La Liga,2020_2021,covid,1,Real Madrid,Valladolid,1,0,H,4,2,Home Win,medium,bad,Santiago Bernabéu,80354.0,0.0,0.0,D
2020-09-30,La Liga,2020_2021,covid,1,Villarreal,Alaves,3,1,H,4,1,Home Win,medium,bad,El Madrigal,26000.0,2.0,1.0,H
2020-09-30,Serie A,2020_2021,covid,1,Benevento,Inter,2,5,A,3,3,Away Win,bad,bad,NA,NA,1.0,4.0,A
2020-09-30,Serie A,2020_2021,covid,1,Lazio,Atalanta,1,4,A,3,3,Away Win,bad,bad,NA,NA,0.0,3.0,A
2020-09-30,Serie A,2020_2021,covid,1,Udinese,Spezia,0,2,A,0,0,Away Win,bad,bad,Stadio Friuli,25144.0,0.0,1.0,A
2020-10-01,La Liga,2020_2021,covid,1,Ath Bilbao,Cadiz,0,1,A,3,3,Away Win,bad,bad,NA,NA,0.0,0.0,D
2020-10-01,La Liga,2020_2021,covid,1,Celta,Barcelona,0,3,A,5,3,Away Win,medium,bad,NA,NA,0.0,1.0,A
2020-10-01,La Liga,2020_2021,covid,1,Sevilla,Levante,1,0,H,3,3,Home Win,bad,bad,Ramón Sánchez Pizjuán,48649.0,0.0,0.0,D
2020-10-02,Bundesliga,2020_2021,covid,1,Union Berlin,Mainz,4,0,H,1,0,Home Win,bad,bad,Stadion An der Alten Försterei,22012.0,1.0,0.0,H
2020-10-02,Ligue 1,2020_2021,covid,1,Paris SG,Angers,6,1,H,9,6,Home Win,good,medium,NA,NA,2.0,0.0,H
2020-10-02,Serie A,2020_2021,covid,1,Fiorentina,Sampdoria,1,2,A,3,0,Away Win,bad,bad,Stadio Artemio Franchi,43147.0,0.0,1.0,A
2020-10-03,Bundesliga,2020_2021,covid,1,Dortmund,Freiburg,4,0,H,3,4,Home Win,bad,medium,Signal Iduna Park,81359.0,1.0,0.0,H
2020-10-03,Bundesliga,2020_2021,covid,1,Ein Frankfurt,Hoffenheim,2,1,H,4,6,Home Win,medium,medium,Frankfurt Stadyumu,52300.0,0.0,1.0,A
2020-10-03,Bundesliga,2020_2021,covid,1,FC Koln,M'gladbach,1,3,A,0,1,Away Win,bad,bad,NA,NA,0.0,2.0,A
2020-10-03,Bundesliga,2020_2021,covid,1,RB Leipzig,Schalke 04,4,0,H,4,0,Home Win,medium,bad,Red Bull Arena,44345.0,3.0,0.0,H
2020-10-03,Bundesliga,2020_2021,covid,1,Stuttgart,Leverkusen,1,1,D,3,2,Draw,bad,bad,MHPArena,60469.0,0.0,1.0,A
2020-10-03,Bundesliga,2020_2021,covid,1,Werder Bremen,Bielefeld,1,0,H,3,4,Home Win,bad,medium,Weser Stadyumu,42358.0,1.0,0.0,H
2020-10-03,La Liga,2020_2021,covid,1,Ath Madrid,Villarreal,0,0,D,4,6,Draw,medium,medium,Vicente Calderón,54851.0,0.0,0.0,D
2020-10-03,La Liga,2020_2021,covid,1,Elche,Huesca,0,0,D,3,2,Draw,bad,bad,NA,NA,0.0,0.0,D
2020-10-03,La Liga,2020_2021,covid,1,Sociedad,Getafe,3,0,H,4,7,Home Win,medium,good,Anoeta,32076.0,1.0,0.0,H
2020-10-03,La Liga,2020_2021,covid,1,Valencia,Betis,0,2,A,4,3,Away Win,medium,bad,Mestalla,55000.0,0.0,1.0,A
2020-10-03,La Liga,2020_2021,covid,1,Valladolid,Eibar,1,2,A,1,0,Away Win,bad,bad,José Zorilla,26512.0,1.0,1.0,D
2020-10-03,Ligue 1,2020_2021,covid,1,Lens,St Etienne,2,0,H,7,4,Home Win,good,medium,Stade Félix Bollaert,41233.0,1.0,0.0,H
2020-10-03,Ligue 1,2020_2021,covid,1,Nice,Nantes,2,1,H,1,1,Home Win,bad,bad,Grand Stade Nice,35624.0,1.0,1.0,D
2020-10-03,Premier League,2020_2021,covid,1,Chelsea,Crystal Palace,4,0,H,4,6,Home Win,medium,medium,Stamford Bridge,42449.0,0.0,0.0,D
2020-10-03,Premier League,2020_2021,covid,1,Everton,Brighton,4,2,H,9,3,Home Win,good,bad,Goodison Park,40157.0,2.0,1.0,H
2020-10-03,Premier League,2020_2021,covid,1,Leeds,Man City,1,1,D,6,3,Draw,medium,bad,NA,NA,0.0,1.0,A
2020-10-03,Premier League,2020_2021,covid,1,Newcastle,Burnley,3,1,H,4,0,Home Win,medium,bad,St James' Park,52409.0,1.0,0.0,H
2020-10-03,Serie A,2020_2021,covid,1,Sassuolo,Crotone,4,1,H,4,0,Home Win,medium,bad,NA,NA,1.0,0.0,H
2020-10-03,Serie A,2020_2021,covid,1,Udinese,Roma,0,1,A,0,2,Away Win,bad,bad,Stadio Friuli,25144.0,0.0,0.0,D
2020-10-04,Bundesliga,2020_2021,covid,1,Bayern Munich,Hertha,4,3,H,3,3,Home Win,bad,bad,NA,NA,1.0,0.0,H
2020-10-04,Bundesliga,2020_2021,covid,1,Wolfsburg,Augsburg,0,0,D,2,6,Draw,bad,medium,Volkswagen Arena,30000.0,0.0,0.0,D
2020-10-04,La Liga,2020_2021,covid,1,Alaves,Ath Bilbao,1,0,H,1,3,Home Win,bad,bad,Mendizorrotza,19900.0,0.0,0.0,D
2020-10-04,La Liga,2020_2021,covid,1,Barcelona,Sevilla,1,1,D,6,6,Draw,medium,medium,Camp Nou,99354.0,1.0,1.0,D
2020-10-04,La Liga,2020_2021,covid,1,Cadiz,Granada,1,1,D,6,6,Draw,medium,medium,NA,NA,0.0,1.0,A
2020-10-04,La Liga,2020_2021,covid,1,Levante,Real Madrid,0,2,A,3,7,Away Win,bad,good,NA,NA,0.0,1.0,A
