Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-12-12,RB Leipzig,Werder Bremen,2,0,H,2.0,0.0,H,,15.0,7.0,7.0,2.0,17.0,12.0,1.0,6.0,3.0,1.0,0.0,0.0,2020_2021,covid
2020-12-12,Union Berlin,Bayern Munich,1,1,D,1.0,0.0,H,,13.0,15.0,6.0,5.0,17.0,8.0,4.0,7.0,3.0,2.0,0.0,0.0,2020_2021,covid
2020-12-13,Augsburg,Schalke 04,2,2,D,1.0,0.0,H,,8.0,15.0,4.0,4.0,17.0,13.0,2.0,3.0,3.0,4.0,1.0,0.0,2020_2021,covid
2020-12-13,Leverkusen,Hoffenheim,4,1,H,2.0,0.0,H,,13.0,11.0,8.0,4.0,12.0,13.0,6.0,5.0,3.0,6.0,0.0,2.0,2020_2021,covid
2020-12-15,Ein Frankfurt,M'gladbach,3,3,D,3.0,1.0,H,,11.0,8.0,4.0,4.0,18.0,15.0,4.0,5.0,6.0,4.0,1.0,0.0,2020_2021,covid
2020-12-15,Hertha,Mainz,0,0,D,0.0,0.0,D,,9.0,5.0,0.0,0.0,17.0,11.0,5.0,4.0,3.0,1.0,0.0,0.0,2020_2021,covid
2020-12-15,Stuttgart,Union Berlin,2,2,D,0.0,1.0,A,,13.0,15.0,6.0,6.0,15.0,14.0,2.0,3.0,3.0,3.0,0.0,0.0,2020_2021,covid
2020-12-15,Werder Bremen,Dortmund,1,2,A,1.0,1.0,D,,7.0,15.0,3.0,9.0,10.0,13.0,4.0,4.0,3.0,2.0,0.0,0.0,2020_2021,covid
2020-12-16,Schalke 04,Freiburg,0,2,A,0.0,0.0,D,,10.0,11.0,2.0,5.0,15.0,9.0,2.0,3.0,2.0,1.0,0.0,0.0,2020_2021,covid
2020-12-16,Bayern Munich,Wolfsburg,2,1,H,1.0,1.0,D,,13.0,17.0,2.0,7.0,14.0,16.0,7.0,7.0,3.0,1.0,0.0,0.0,2020_2021,covid
2020-12-16,Bielefeld,Augsburg,0,1,A,0.0,0.0,D,,12.0,8.0,2.0,2.0,14.0,15.0,1.0,3.0,1.0,2.0,0.0,0.0,2020_2021,covid
2020-12-16,FC Koln,Leverkusen,0,4,A,0.0,2.0,A,,7.0,14.0,1.0,7.0,12.0,12.0,2.0,6.0,1.0,1.0,0.0,0.0,2020_2021,covid
2020-12-16,Hoffenheim,RB Leipzig,0,1,A,0.0,0.0,D,,7.0,4.0,3.0,3.0,16.0,14.0,5.0,5.0,2.0,0.0,0.0,0.0,2020_2021,covid
2020-12-18,Union Berlin,Dortmund,2,1,H,0.0,0.0,D,,12.0,16.0,5.0,4.0,9.0,7.0,8.0,6.0,1.0,1.0,0.0,0.0,2020_2021,covid
2020-12-19,Augsburg,Ein Frankfurt,0,2,A,0.0,0.0,D,,15.0,15.0,4.0,6.0,9.0,10.0,2.0,4.0,1.0,4.0,0.0,0.0,2020_2021,covid
2020-12-19,Mainz,Werder Bremen,0,1,A,0.0,0.0,D,,9.0,13.0,1.0,7.0,15.0,11.0,2.0,5.0,2.0,2.0,0.0,0.0,2020_2021,covid
