Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2025-04-13,Verona,Genoa,0,0,D,0,0,D,,14,4,2,1,19,11,6,2,3,1,0,0,2024_2025,normal
2025-04-13,Como,Torino,1,0,H,1,0,H,,15,10,7,4,9,16,7,4,1,3,0,0,2024_2025,normal
2025-04-13,Lazio,Roma,1,1,D,0,0,D,,12,9,7,4,12,12,10,5,4,2,0,0,2024_2025,normal
2025-04-14,Napoli,Empoli,3,0,H,1,0,H,,17,12,6,1,8,15,5,5,1,1,0,0,2024_2025,normal
2025-04-19,Lecce,Como,0,3,A,0,1,A,,14,11,7,6,18,14,9,4,3,5,0,0,2024_2025,normal
2025-04-19,Monza,Napoli,0,1,A,0,0,D,,8,16,0,5,18,11,6,7,4,2,0,0,2024_2025,normal
2025-04-19,Roma,Verona,1,0,H,1,0,H,,6,8,3,2,5,17,4,6,0,2,0,0,2024_2025,normal
2025-04-20,Empoli,Venezia,2,2,D,0,0,D,,11,13,4,7,18,15,2,5,2,1,0,0,2024_2025,normal
2025-04-20,Bologna,Inter,1,0,H,0,0,D,,12,8,3,1,12,21,5,6,2,3,0,0,2024_2025,normal
2025-04-20,Milan,Atalanta,0,1,A,0,0,D,,12,11,1,2,8,7,7,5,0,1,0,0,2024_2025,normal
2025-04-23,Cagliari,Fiorentina,1,2,A,1,1,D,,8,8,2,4,15,15,4,4,2,2,0,0,2024_2025,normal
2025-04-23,Genoa,Lazio,0,2,A,0,1,A,,8,15,4,6,16,10,6,8,3,1,1,1,2024_2025,normal
2025-04-23,Parma,Juventus,1,0,H,1,0,H,,6,16,3,2,9,10,4,9,2,3,0,0,2024_2025,normal
2025-04-23,Torino,Udinese,2,0,H,1,0,H,,10,10,4,6,11,13,8,7,2,2,0,0,2024_2025,normal
2025-04-27,Como,Genoa,1,0,H,0,0,D,,14,4,3,1,19,15,6,3,2,1,0,0,2024_2025,normal
2025-04-27,Venezia,Milan,0,2,A,0,1,A,,15,12,2,2,14,13,7,2,1,0,0,0,2024_2025,normal
2025-04-27,Fiorentina,Empoli,2,1,H,2,0,H,,6,8,3,5,16,18,1,6,3,2,0,0,2024_2025,normal
2025-04-27,Inter,Roma,0,1,A,0,1,A,,17,19,2,7,11,9,4,3,1,2,0,0,2024_2025,normal
2025-04-27,Juventus,Monza,2,0,H,2,0,H,,10,12,5,3,17,5,0,5,3,3,1,0,2024_2025,normal
2025-04-27,Atalanta,Lecce,1,1,D,0,1,A,,21,10,6,3,10,8,12,3,1,1,0,0,2024_2025,normal
2025-04-27,Napoli,Torino,2,0,H,2,0,H,,8,9,2,0,5,13,2,5,0,3,0,0,2024_2025,normal
2025-04-28,Udinese,Bologna,0,0,D,0,0,D,,13,12,4,1,21,10,5,6,3,2,0,0,2024_2025,normal
2025-04-28,Lazio,Parma,2,2,D,0,1,A,,14,7,7,5,12,11,5,1,1,3,0,0,2024_2025,normal
2025-04-28,Verona,Cagliari,0,2,A,0,1,A,,6,6,2,4,14,9,2,3,2,1,1,0,2024_2025,normal
2025-05-02,Torino,Venezia,1,1,D,0,1,A,,19,7,4,3,7,18,5,1,1,0,0,0,2024_2025,normal
2025-05-03,Cagliari,Udinese,1,2,A,1,1,D,,8,11,2,3,5,15,5,4,1,2,0,0,2024_2025,normal
