Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,season_type
2020-12-13,Lille,Bordeaux,2,1,H,2,1,H,,15,4,5,3,14,10,8,3,0,2,0,0,2020_2021,covid
2020-12-13,Paris SG,Lyon,0,1,A,0,1,A,,7,8,1,5,11,17,5,5,4,1,0,1,2020_2021,covid
2020-12-16,Angers,Strasbourg,0,2,A,0,0,D,,8,7,2,3,9,11,6,2,1,2,0,0,2020_2021,covid
2020-12-16,Dijon,Lille,0,2,A,0,1,A,,6,10,1,5,21,8,5,4,0,0,0,0,2020_2021,covid
2020-12-16,Montpellier,Metz,0,2,A,0,0,D,,14,9,3,5,11,9,10,2,3,3,0,0,2020_2021,covid
2020-12-16,Nimes,Nice,0,2,A,0,0,D,,15,14,4,6,8,10,4,5,1,2,0,1,2020_2021,covid
2020-12-16,Reims,Nantes,3,2,H,0,1,A,,13,18,4,7,13,13,3,6,2,2,0,0,2020_2021,covid
2020-12-16,Bordeaux,St Etienne,1,2,A,1,1,D,,11,19,3,8,12,14,3,4,3,2,0,0,2020_2021,covid
2020-12-16,Lyon,Brest,2,2,D,0,1,A,,28,8,11,2,13,5,12,3,3,0,0,1,2020_2021,covid
2020-12-16,Monaco,Lens,0,3,A,0,3,A,,7,8,1,4,8,17,3,3,2,4,1,0,2020_2021,covid
2020-12-16,Paris SG,Lorient,2,0,H,0,0,D,,24,8,8,3,19,9,9,2,3,0,0,1,2020_2021,covid
2020-12-16,Rennes,Marseille,2,1,H,0,1,A,,15,8,5,1,19,15,9,1,1,4,0,1,2020_2021,covid
2020-12-19,Metz,Lens,2,0,H,1,0,H,,12,17,4,3,17,8,8,4,1,1,0,0,2020_2021,covid
2020-12-19,Marseille,Reims,1,1,D,1,1,D,,12,2,6,1,11,10,7,3,1,3,0,0,2020_2021,covid
2020-12-19,Nice,Lyon,1,4,A,1,2,A,,8,13,1,9,17,9,8,2,1,1,0,0,2020_2021,covid
2020-12-20,Brest,Montpellier,2,2,D,0,1,A,,17,10,7,4,14,15,6,4,2,1,0,0,2020_2021,covid
2020-12-20,Dijon,Monaco,0,1,A,0,1,A,,11,13,1,6,13,14,2,6,2,1,0,0,2020_2021,covid
2020-12-20,Nantes,Angers,1,1,D,0,1,A,,9,12,2,6,16,13,5,6,3,0,0,0,2020_2021,covid
2020-12-20,St Etienne,Nimes,2,2,D,1,1,D,,18,9,9,4,15,9,6,3,2,3,0,0,2020_2021,covid
2020-12-20,Strasbourg,Bordeaux,0,2,A,0,1,A,,10,11,3,6,15,12,5,3,2,1,0,0,2020_2021,covid
